eccid	chr_hg19	start_hg19	end_hg19	tissue
ecc597621	chr19	36794078	37062081	Bladder
ecc597622	chr19	36801667	41227265	Ovary
ecc597623	chr19	37128074	39914748	Lung
ecc597624	chr19	37150546	38747795	Esophagus
ecc597625	chr19	37445995	59128982	Esophagus
ecc597626	chr19	37653002	37856794	Lung
ecc597627	chr19	37813924	37846395	Esophagus
ecc597628	chr19	38027789	38041756	Lung
ecc597629	chr19	38027789	38243266	Lung
ecc597630	chr19	38051605	38067197	Lung
ecc597631	chr19	38100539	38201022	Bladder
ecc597632	chr19	38102926	38593278	Uterine Corpus Endometrial
ecc597633	chr19	38121544	41465314	Bladder
ecc597634	chr19	38561458	41330009	Lung
ecc597635	chr19	38892778	39206288	Connective tissue
ecc597636	chr19	38894075	39170646	Connective tissue
ecc597637	chr19	39036859	39037395	Lung
ecc597638	chr19	39320606	40937092	Breast
ecc597639	chr19	39344834	39605882	Esophagus
ecc597640	chr19	39345647	40326290	Esophagus
ecc597641	chr19	39556629	39557132	Lung
ecc597642	chr19	39593831	41604692	Lung
ecc597643	chr19	39748247	40204075	Breast
ecc597644	chr19	40146593	40358542	Ovary
ecc597645	chr19	40198080	40216224	Lung
ecc597646	chr19	40218028	40315876	Brain
ecc597647	chr19	40525555	41491882	Bladder
ecc597648	chr19	40604033	40818607	Brain
ecc597649	chr19	41595377	42270723	Connective tissue
ecc597650	chr19	41754680	41755280	Connective tissue
ecc597651	chr19	42114913	42337023	Cervix
ecc597652	chr19	43031304	43231741	Bladder
ecc597653	chr19	43045445	53325042	Pancreatic
ecc597654	chr19	43276974	43477431	Brain
ecc597655	chr19	43749231	43959118	Brain
ecc597656	chr19	44062919	44311330	Brain
ecc597657	chr19	44661602	44702688	Lung
ecc597658	chr19	44729095	45551157	Head and Neck
ecc597659	chr19	45075838	45336013	Brain
ecc597660	chr19	45299515	45770217	Esophagus
ecc597661	chr19	45500342	45770799	Brain
ecc597662	chr19	45517282	45575786	Head and Neck
ecc597663	chr19	45728442	45929003	Esophagus
ecc597664	chr19	45770629	47837925	Esophagus
ecc597665	chr19	45816761	46575663	Lung
ecc597666	chr19	46228769	46313758	Esophagus
ecc597667	chr19	46554549	46928799	Brain
ecc597668	chr19	46643990	46844434	Stomach
ecc597669	chr19	46659561	46742535	Esophagus
ecc597670	chr19	46928574	59128982	Liver
ecc597671	chr19	47046071	47258955	Brain
ecc597672	chr19	47838185	47988441	Esophagus
ecc597673	chr19	48228788	49059235	Esophagus
ecc597674	chr19	48950692	48951285	Connective tissue
ecc597675	chr19	49135097	49335604	Stomach
ecc597676	chr19	49277460	49376360	Brain
ecc597677	chr19	49553950	59128982	Pancreatic
ecc597678	chr19	49822521	55650505	Breast
ecc597679	chr19	50056512	50256968	Brain
ecc597680	chr19	50601864	50829027	Brain
ecc597681	chr19	50995761	51006265	Ovary
ecc597682	chr19	51564749	51565322	Esophagus
ecc597683	chr19	51589464	56414636	Esophagus
ecc597684	chr19	51938418	52204558	Brain
ecc597685	chr19	52866708	52887342	Skin
ecc597686	chr19	53000011	53493758	Brain
ecc597687	chr19	53380802	59065075	Breast
ecc597688	chr19	53421527	57666520	Bladder
ecc597689	chr19	54208166	54437110	Brain
ecc597690	chr19	55023014	55234413	Brain
ecc597691	chr19	55290840	55534250	Brain
ecc597692	chr19	55641045	55868181	Bladder
ecc597693	chr19	55792743	55993391	Brain
ecc597694	chr19	55932666	55933193	Esophagus
ecc597695	chr19	56414812	58222098	Esophagus
ecc597696	chr19	56651813	56852270	Brain
ecc597697	chr19	56865431	57066023	Head and Neck
ecc597698	chr19	56881118	56881677	Esophagus
ecc597699	chr19	57407981	57765902	Head and Neck
ecc597700	chr19	58429314	58429764	Stomach
ecc597701	chr19	58563763	58885283	Esophagus
ecc597702	chr19	58711727	58928472	Brain
ecc597703	chr19	58760685	58978226	Bladder
ecc597704	chr19	58992745	59128983	Bladder
ecc597707	chr2	20016	45291402	Ovary
ecc597710	chr2	42283	4993188	Prostate
ecc597711	chr2	484221	686938	Lung
ecc597712	chr2	756326	1100710	Brain
ecc597713	chr2	1513001	1553386	Liver
ecc597714	chr2	4813976	5114749	Brain
ecc597715	chr2	5130682	5491386	Brain
ecc597716	chr2	5844046	6092517	Brain
ecc597717	chr2	7047972	7305114	Brain
ecc597718	chr2	8538090	8538640	Esophagus
ecc597719	chr2	9380306	14235156	Ovary
ecc597720	chr2	9802668	10023308	Brain
ecc597721	chr2	10362235	10630361	Brain
ecc597722	chr2	11301201	25819898	Prostate
ecc597723	chr2	12475213	12490757	Stomach
ecc597724	chr2	12499746	13175043	Stomach
ecc597725	chr2	12948726	14018988	Brain
ecc597726	chr2	12960431	12960967	Lung
ecc597727	chr2	13175878	13176471	Stomach
ecc597728	chr2	14853948	17917336	Pediatric Brain
ecc597729	chr2	15073794	16926088	Stomach
ecc597730	chr2	15280904	16184958	Pediatric Brain
ecc597731	chr2	15786640	16430271	Brain
ecc597732	chr2	15807290	15914842	Lung
ecc597733	chr2	17403453	17403980	Esophagus
ecc597734	chr2	18223836	37580111	Ovary
ecc597735	chr2	20236236	20545763	Bladder
ecc597736	chr2	25754004	25798274	Bladder
ecc597737	chr2	25830050	26030485	Uterine Corpus Endometrial
ecc597738	chr2	26927336	26937886	Ovary
ecc597739	chr2	28338960	28539395	Uterine Corpus Endometrial
ecc597740	chr2	28567625	29262985	Uterine Corpus Endometrial
ecc597741	chr2	28629004	28629490	Head and Neck
ecc597742	chr2	28735288	28803155	Uterine Corpus Endometrial
ecc597743	chr2	29155139	35813424	Ovary
ecc597744	chr2	32981884	33241917	Esophagus
ecc597745	chr2	32991485	33241936	Esophagus
ecc597746	chr2	32991791	33251584	Esophagus
ecc597747	chr2	32991824	33241929	Esophagus
ecc597748	chr2	32991860	33241863	Esophagus
ecc597749	chr2	33031364	33241936	Esophagus
ecc597750	chr2	33031366	33242010	Pancreatic
ecc597751	chr2	33031383	33251886	Ovary
ecc597752	chr2	33031413	33241968	Ovary
ecc597753	chr2	33040909	33251360	Esophagus
ecc597754	chr2	33041011	33251500	Pancreatic
ecc597755	chr2	33041046	33241688	Brain
ecc597756	chr2	33041282	33241947	Colon
ecc597757	chr2	33041296	33241868	Esophagus
ecc597758	chr2	33041297	33241948	Pancreatic
ecc597759	chr2	33041299	33241898	Connective tissue
ecc597760	chr2	33041300	33241955	Colon
ecc597761	chr2	33041309	33241892	Esophagus
ecc597762	chr2	33041362	33241939	Skin
ecc597763	chr2	33041416	33251958	Pediatric Brain
ecc597764	chr2	33875682	33896491	Brain
ecc597765	chr2	38272431	38818317	Ovary
ecc597766	chr2	38519652	38785813	Lung
ecc597767	chr2	40470884	42182312	Skin
ecc597768	chr2	40747712	40768285	Bladder
ecc597769	chr2	41367519	50032468	Ovary
ecc597770	chr2	42378654	43099118	Skin
ecc597771	chr2	42434276	42434827	Lung
ecc597772	chr2	42610980	49099059	Lung
ecc597773	chr2	42987554	42988057	Lung
ecc597774	chr2	43105160	43263085	Skin
ecc597775	chr2	43616700	44176073	Skin
ecc597776	chr2	44731002	44742023	Skin
ecc597777	chr2	45537982	82096079	Ovary
ecc597778	chr2	46492184	49448041	Lung
ecc597779	chr2	46733797	47033234	Skin
ecc597780	chr2	47338486	48683271	Skin
ecc597781	chr2	47376458	47400786	Breast
ecc597782	chr2	47451927	47784818	Stomach
ecc597783	chr2	48323845	48324501	Colon
ecc597784	chr2	48694293	48738892	Skin
ecc597785	chr2	49212347	49212862	Brain
ecc597786	chr2	50032609	50033250	Ovary
ecc597787	chr2	51462696	51639922	Lung
ecc597788	chr2	51560965	51703334	Skin
ecc597789	chr2	52010561	52395467	Lung
ecc597790	chr2	53027645	53590034	Skin
ecc597791	chr2	53747343	53907608	Stomach
ecc597792	chr2	55751787	57749024	Lung
ecc597793	chr2	56357382	63616847	Esophagus
ecc597794	chr2	56656841	57270547	Brain
ecc597795	chr2	58078288	58078791	Lung
ecc597796	chr2	59044696	64782492	Ovary
ecc597797	chr2	59882203	61364147	B-cell
ecc597798	chr2	60112143	61262118	Pancreatic
ecc597799	chr2	62640196	62640636	Bladder
ecc597800	chr2	62990759	63087175	Lung
ecc597801	chr2	65534294	66184748	Ovary
ecc597802	chr2	65819940	65820533	Stomach
ecc597803	chr2	66199088	70221744	Ovary
ecc597804	chr2	68239076	68279605	Prostate
ecc597805	chr2	68607211	68607763	Lung
ecc597806	chr2	69183217	69605508	Brain
ecc597807	chr2	71188706	71209299	Stomach
ecc597808	chr2	73279663	75835269	Uterine Corpus Endometrial
ecc597809	chr2	73309591	74146977	Ovary
ecc597810	chr2	74150255	74994417	Ovary
ecc597811	chr2	74798489	74798933	Stomach
ecc597812	chr2	75426488	75928246	Brain
ecc597813	chr2	76322922	76323346	Esophagus
ecc597814	chr2	77722843	77723653	Brain
ecc597815	chr2	80961829	80962422	Stomach
ecc597817	chr2	83782592	84082897	Brain
ecc597818	chr2	85045135	85045650	Brain
ecc597819	chr2	85533614	85798280	Lung
ecc597820	chr2	87813775	87814312	Uterine Corpus Endometrial
ecc597821	chr2	87913586	87914123	Uterine Corpus Endometrial
ecc597822	chr2	87967945	87968482	Uterine Corpus Endometrial
ecc597823	chr2	88592597	88593155	Lung
ecc597824	chr2	89068512	89089101	Esophagus
ecc597826	chr2	89610185	89610721	Lung
ecc597827	chr2	89913349	89913885	Lung
ecc597828	chr2	94399158	102936981	Lung
ecc597829	chr2	95341699	97281414	Lung
ecc597830	chr2	96512145	96512613	Uterine Corpus Endometrial
ecc597831	chr2	96524406	96738320	Bladder
ecc597832	chr2	96624099	96824581	Head and Neck
ecc597833	chr2	96634656	96986168	Stomach
ecc597835	chr2	97301306	97380561	Ovary
ecc597836	chr2	97325290	98468319	Lung
ecc597837	chr2	97488494	98686239	Head and Neck
ecc597838	chr2	97593562	97813773	Head and Neck
ecc597839	chr2	97841634	98331086	Head and Neck
ecc597840	chr2	97860449	97861090	Ovary
ecc597841	chr2	98169996	101613076	Bladder
ecc597842	chr2	98170206	98190796	Esophagus
ecc597843	chr2	99944561	99944985	Esophagus
ecc597844	chr2	100973508	100994141	Skin
ecc597845	chr2	101458887	112864410	Breast
ecc597846	chr2	101749765	102311890	Esophagus
ecc597847	chr2	101846660	102288365	Uterine Corpus Endometrial
ecc597848	chr2	102319922	102723344	Bladder
ecc597849	chr2	102661293	102682102	Brain
ecc597850	chr2	102888828	103437440	Esophagus
ecc597851	chr2	103630289	103814920	Esophagus
ecc597852	chr2	103718953	103729321	Breast
ecc597853	chr2	103729417	103856441	Breast
ecc597854	chr2	103862501	104204896	Breast
ecc597855	chr2	104390242	104390778	Lung
ecc597856	chr2	104787900	104788436	Lung
ecc597857	chr2	104890498	106137106	Brain
ecc597858	chr2	105309265	105349800	Lung
ecc597859	chr2	105577006	105577586	Connective tissue
ecc597860	chr2	105687170	115223838	Lung
ecc597861	chr2	106069104	106086944	Esophagus
ecc597862	chr2	107453919	107716989	Stomach
ecc597863	chr2	110415419	110615854	Stomach
ecc597864	chr2	111270848	116481284	Stomach
ecc597865	chr2	111772772	112396833	Uterine Corpus Endometrial
ecc597866	chr2	112903982	131541018	Breast
ecc597867	chr2	113786741	114404126	Uterine Corpus Endometrial
ecc597868	chr2	113949374	114072907	Lung
ecc597869	chr2	114246153	114446621	Esophagus
ecc597870	chr2	115306901	124565765	Esophagus
ecc597871	chr2	119466232	119666668	Stomach
ecc597872	chr2	120345916	120895105	Lung
ecc597873	chr2	121310987	121522973	Head and Neck
ecc597874	chr2	124495847	125744804	Lung
ecc597875	chr2	126769510	127188636	Connective tissue
ecc597876	chr2	128822085	128822741	Colon
ecc597877	chr2	131954648	132155084	Stomach
ecc597878	chr2	132041765	132042246	Breast
ecc597879	chr2	132110241	132130721	Breast
ecc597880	chr2	133392277	133392779	Lung
ecc597881	chr2	134331893	134540153	Skin
ecc597883	chr2	135023489	144069889	Lung
ecc597884	chr2	136244757	136552553	Uterine Corpus Endometrial
ecc597885	chr2	136824676	137158591	Uterine Corpus Endometrial
ecc597887	chr2	140894662	142466325	Skin
ecc597888	chr2	141852145	141852900	Skin
ecc597889	chr2	142399707	142600141	Bladder
ecc597890	chr2	143884374	144331582	Pancreatic
ecc597891	chr2	148952074	148952668	Breast
ecc597892	chr2	149268875	149269330	Brain
ecc597893	chr2	149616079	149653891	Esophagus
ecc597894	chr2	149674866	149893585	Esophagus
ecc597895	chr2	151637209	151837843	Skin
ecc597896	chr2	152877899	152878533	Skin
ecc597897	chr2	153619511	154102966	Lung
ecc597898	chr2	154523516	160684341	Stomach
ecc597899	chr2	156492078	156520463	Prostate
ecc597900	chr2	156527406	156528081	Head and Neck
ecc597901	chr2	156527421	156528080	Head and Neck
ecc597902	chr2	157094161	157297583	Head and Neck
ecc597903	chr2	158428828	158704271	Skin
ecc597904	chr2	158673985	158874492	Stomach
ecc597905	chr2	159256303	159686244	Skin
ecc597906	chr2	159943842	159964278	Bladder
ecc597907	chr2	160064696	171830626	Ovary
ecc597908	chr2	160634721	161122670	Skin
ecc597909	chr2	161597651	164753038	Bladder
ecc597910	chr2	162201075	172541928	Lung
ecc597911	chr2	164492345	164708539	Bladder
ecc597912	chr2	164619925	164773980	Esophagus
ecc597913	chr2	164753228	165329104	Bladder
ecc597914	chr2	167726584	167772293	Head and Neck
ecc597915	chr2	169036889	169054131	Esophagus
ecc597916	chr2	169117040	169138250	Esophagus
ecc597917	chr2	170305894	170306444	Esophagus
ecc597918	chr2	171345862	171346418	Breast
ecc597919	chr2	171880651	210593128	Ovary
ecc597920	chr2	174308627	174344356	Breast
ecc597921	chr2	174739072	178795430	Head and Neck
ecc597922	chr2	175485564	175486107	Esophagus
ecc597923	chr2	176959007	177342179	Ovary
ecc597924	chr2	177503484	177504271	Ovary
ecc597925	chr2	177975675	178340601	Head and Neck
ecc597926	chr2	178020379	178169830	Lung
ecc597927	chr2	180885068	180885633	Esophagus
ecc597928	chr2	182268267	183209519	Breast
ecc597929	chr2	182980559	182981215	Colon
ecc597930	chr2	184929881	184930515	Skin
ecc597931	chr2	185138855	185139361	Uterine Corpus Endometrial
ecc597932	chr2	185610584	185823475	Skin
ecc597933	chr2	186780831	186981464	Skin
ecc597934	chr2	188433544	188434178	Skin
ecc597935	chr2	193443367	193444023	Colon
ecc597936	chr2	194902378	194923103	Pancreatic
ecc597937	chr2	194922301	194933103	Liver
ecc597938	chr2	197817319	197817846	Esophagus
ecc597939	chr2	198752982	200060257	Head and Neck
ecc597940	chr2	200091664	200420736	Head and Neck
ecc597941	chr2	202179377	202363299	Esophagus
ecc597942	chr2	203451536	203452101	Esophagus
ecc597943	chr2	204066591	209774792	Bladder
ecc597944	chr2	206734357	206734920	Lung
ecc597945	chr2	207080465	207091310	Pancreatic
ecc597946	chr2	208555030	208825339	Uterine Corpus Endometrial
ecc597947	chr2	216122975	216123619	Head and Neck
ecc597948	chr2	218663978	219115885	Uterine Corpus Endometrial
ecc597949	chr2	218819566	219327221	Lung
ecc597950	chr2	221056991	221057474	Bladder
ecc597951	chr2	221057015	221057474	Breast
ecc597952	chr2	224076498	224077088	Esophagus
ecc597953	chr2	224817602	230719970	Skin
ecc597954	chr2	231272991	231285173	Ovary
ecc597955	chr2	231390956	231391431	Brain
ecc597956	chr2	232293529	232334078	Esophagus
ecc597957	chr2	232443125	232443651	Head and Neck
ecc597958	chr2	232738502	232901072	Uterine Corpus Endometrial
ecc597959	chr2	232768812	232769282	Stomach
ecc597960	chr2	233917503	233917971	Esophagus
ecc597961	chr2	235482753	235585442	Ovary
ecc597962	chr2	238476096	238616667	Ovary
ecc597966	chr20	32074	25599999	Liver
ecc597968	chr20	37417	15008891	Liver
ecc597971	chr20	127408	127870	Breast
ecc597972	chr20	136330	156791	Breast
ecc597973	chr20	455763	36324206	Ovary
ecc597974	chr20	687569	688217	Connective tissue
ecc597975	chr20	742930	781740	Colon
ecc597976	chr20	1928700	8420831	Cervix
ecc597977	chr20	2458056	3263345	Ovary
ecc597978	chr20	2747323	6662327	Colon
ecc597979	chr20	4086221	4086869	Connective tissue
ecc597980	chr20	4503128	4503776	Connective tissue
ecc597981	chr20	4559537	4875639	Breast
ecc597982	chr20	6348304	6369152	Head and Neck
ecc597983	chr20	7589391	23681074	Bladder
ecc597984	chr20	7763157	7763693	Lung
ecc597985	chr20	11664355	11854613	Uterine Corpus Endometrial
ecc597986	chr20	11964690	11965356	Colon
ecc597987	chr20	12233705	12234353	Connective tissue
ecc597988	chr20	13691564	13712212	Connective tissue
ecc597989	chr20	13785413	13786061	Connective tissue
ecc597990	chr20	15037678	15038344	Colon
ecc597991	chr20	15453381	62432500	Liver
ecc597992	chr20	15667935	16092611	Stomach
ecc597993	chr20	15773400	16842646	Skin
ecc597994	chr20	15917719	62432500	Esophagus
ecc597995	chr20	16866776	17464091	Skin
ecc597996	chr20	17428008	17448469	Breast
ecc597997	chr20	17838882	18484846	Uterine Corpus Endometrial
ecc597998	chr20	17940898	18570755	Stomach
ecc597999	chr20	18185761	18221544	Esophagus
ecc598000	chr20	18230213	18230797	Esophagus
ecc598001	chr20	18638165	19700711	Skin
ecc598002	chr20	19955252	43001971	Pancreatic
ecc598003	chr20	20001453	20022061	Connective tissue
ecc598004	chr20	20070478	20071034	Esophagus
ecc598005	chr20	20079304	62432500	Liver
ecc598006	chr20	20465720	25599999	Breast
ecc598007	chr20	21101816	21112361	Ovary
ecc598008	chr20	21115990	21367741	Esophagus
ecc598009	chr20	21730422	22045017	Esophagus
ecc598010	chr20	22623511	62435800	Pancreatic
ecc598011	chr20	23077950	24119664	Ovary
ecc598012	chr20	23802355	24109901	Esophagus
ecc598013	chr20	24172425	24172885	Esophagus
ecc598014	chr20	24772924	38936317	Ovary
ecc598015	chr20	25631637	25862067	Brain
ecc598016	chr20	25631774	25862260	Head and Neck
ecc598017	chr20	25632502	26178464	Head and Neck
ecc598018	chr20	25661610	25782189	Brain
ecc598019	chr20	25741218	25781745	Bladder
ecc598020	chr20	25741621	25782216	Esophagus
ecc598021	chr20	25742958	25763728	Liver
ecc598022	chr20	25785331	25985996	Colon
ecc598023	chr20	25954996	26265481	Head and Neck
ecc598024	chr20	25955360	26185791	Brain
ecc598025	chr20	26034854	26075381	Bladder
ecc598026	chr20	26035419	26055999	Brain
ecc598027	chr20	26036042	26056812	Liver
ecc598028	chr20	26068021	26088601	Brain
ecc598029	chr20	26106582	26127063	Breast
ecc598030	chr20	26138619	26159101	Breast
ecc598031	chr20	26195758	26217899	Ovary
ecc598032	chr20	26195758	33426212	Lung
ecc598033	chr20	26195867	62339837	Colon
ecc598034	chr20	26200011	26220615	Lung
ecc598035	chr20	26200027	26220585	Lung
ecc598036	chr20	26200132	26220638	Uterine Corpus Endometrial
ecc598037	chr20	26200211	26220636	Bladder
ecc598038	chr20	26220129	26220599	Stomach
ecc598039	chr20	26220176	26220620	Stomach
ecc598040	chr20	26220197	26220634	Bladder
ecc598041	chr20	29408419	29608978	Stomach
ecc598042	chr20	29419802	62874423	Pancreatic
ecc598043	chr20	29421395	62435800	Skin
ecc598044	chr20	29474776	29475196	Brain
ecc598045	chr20	29508453	29508973	Stomach
ecc598046	chr20	29788157	35057590	Head and Neck
ecc598047	chr20	29846280	30410739	Head and Neck
ecc598048	chr20	29857454	33288354	Head and Neck
ecc598049	chr20	29858537	34006392	Cervix
ecc598050	chr20	29907492	62435800	Liver
ecc598051	chr20	29922485	30127743	Skin
ecc598052	chr20	29994262	33477089	Bladder
ecc598053	chr20	30088144	30332465	Lung
ecc598054	chr20	30117434	38979400	Breast
ecc598055	chr20	30520769	43319781	Skin
ecc598056	chr20	30745268	30776980	Esophagus
ecc598057	chr20	30940679	31141043	Esophagus
ecc598058	chr20	31382996	31383775	Ovary
ecc598059	chr20	31755812	32612624	Head and Neck
ecc598060	chr20	32087000	32953693	Bladder
ecc598061	chr20	32184005	32456814	Lung
ecc598062	chr20	32719235	33079067	Skin
ecc598063	chr20	32719238	32919673	Uterine Corpus Endometrial
ecc598064	chr20	32865481	60234603	Esophagus
ecc598065	chr20	33050488	37324003	Esophagus
ecc598066	chr20	33435160	37037584	Lung
ecc598067	chr20	33456257	37622579	Uterine Corpus Endometrial
ecc598068	chr20	33498266	33880546	Connective tissue
ecc598069	chr20	33526554	33547015	Esophagus
ecc598070	chr20	33820214	37922862	Esophagus
ecc598071	chr20	34376368	34801921	Stomach
ecc598072	chr20	34422741	34758312	Uterine Corpus Endometrial
ecc598073	chr20	34600018	36667251	Oral
ecc598074	chr20	34917208	35594471	Uterine Corpus Endometrial
ecc598075	chr20	35024235	35024819	Esophagus
ecc598076	chr20	35031819	35605355	Stomach
ecc598077	chr20	35205448	35696694	Connective tissue
ecc598078	chr20	35384023	35563612	Uterine Corpus Endometrial
ecc598079	chr20	36325846	40359519	Ovary
ecc598080	chr20	36564393	37191478	Ovary
ecc598081	chr20	37323724	40994548	Skin
ecc598082	chr20	37630015	40359519	Connective tissue
ecc598083	chr20	38061294	38721751	Skin
ecc598084	chr20	38463727	38791929	Bladder
ecc598085	chr20	38578031	39666720	Stomach
ecc598086	chr20	38677712	38878075	Esophagus
ecc598087	chr20	39288213	39914844	Breast
ecc598088	chr20	39439937	40072568	Lung
ecc598089	chr20	39467418	39667782	Esophagus
ecc598090	chr20	39745657	39966021	Esophagus
ecc598091	chr20	39759747	39795558	Breast
ecc598092	chr20	40017966	40359519	Esophagus
ecc598093	chr20	40106567	43877610	Stomach
ecc598094	chr20	40214880	40323235	Skin
ecc598095	chr20	40247213	40267733	Lung
ecc598096	chr20	40253686	53260486	Ovary
ecc598097	chr20	40360783	40553789	Connective tissue
ecc598098	chr20	40360783	41158805	Esophagus
ecc598099	chr20	40360783	62219837	Ovary
ecc598100	chr20	40418140	40418599	Breast
ecc598101	chr20	40599009	40819471	Breast
ecc598102	chr20	40607424	41515745	Breast
ecc598103	chr20	40735893	40926675	Skin
ecc598104	chr20	40870093	40890643	Lung
ecc598105	chr20	41166731	41167168	Bladder
ecc598106	chr20	41295294	41786039	Esophagus
ecc598107	chr20	41332378	41352892	Lung
ecc598108	chr20	41786801	44094926	Esophagus
ecc598109	chr20	42070351	42384156	Breast
ecc598110	chr20	42226959	42853049	Connective tissue
ecc598111	chr20	42297439	43823508	Esophagus
ecc598112	chr20	42719437	42757458	Prostate
ecc598113	chr20	43037709	43038230	Lung
ecc598114	chr20	43060359	43080880	Lung
ecc598115	chr20	43373456	44715564	Ovary
ecc598116	chr20	43430165	46795759	Uterine Corpus Endometrial
ecc598117	chr20	43867387	44336842	Uterine Corpus Endometrial
ecc598118	chr20	44107668	44145492	Esophagus
ecc598119	chr20	44455943	46859099	Breast
ecc598120	chr20	44906809	51996059	Uterine Corpus Endometrial
ecc598121	chr20	45023285	45048384	Skin
ecc598122	chr20	45127075	45182197	Skin
ecc598123	chr20	45691406	59810955	Breast
ecc598124	chr20	45922449	46046009	Lung
ecc598125	chr20	46058644	54331309	Stomach
ecc598126	chr20	46136331	46479865	Stomach
ecc598127	chr20	46379640	50080398	Stomach
ecc598128	chr20	46523462	49162241	Esophagus
ecc598129	chr20	46544719	56551075	Breast
ecc598130	chr20	46640087	49162241	Skin
ecc598131	chr20	47031414	53374780	Breast
ecc598132	chr20	47032838	47233248	Uterine Corpus Endometrial
ecc598133	chr20	47818304	48018928	Skin
ecc598134	chr20	48153974	48650649	Uterine Corpus Endometrial
ecc598135	chr20	48158796	48630752	Liver
ecc598136	chr20	48433949	50180067	Lung
ecc598137	chr20	48648192	48906516	Lung
ecc598138	chr20	48693243	53477600	Stomach
ecc598139	chr20	49162576	50172940	Esophagus
ecc598140	chr20	49162576	50269279	Skin
ecc598141	chr20	49290988	49311195	Colon
ecc598142	chr20	49302575	49445446	Liver
ecc598143	chr20	49376675	49631741	Lung
ecc598144	chr20	49393841	49598387	Skin
ecc598145	chr20	49399999	54244797	Uterine Corpus Endometrial
ecc598146	chr20	49893633	50983011	Skin
ecc598147	chr20	50177239	56644140	Esophagus
ecc598148	chr20	50598185	50613363	Skin
ecc598149	chr20	51296482	51832330	Skin
ecc598150	chr20	51514871	51686405	Skin
ecc598151	chr20	51560304	51983621	Skin
ecc598152	chr20	51940785	52932747	Lung
ecc598153	chr20	52127042	52496001	Breast
ecc598154	chr20	52218761	52219385	Skin
ecc598155	chr20	52365279	52546089	Lung
ecc598156	chr20	52518978	63025520	Skin
ecc598157	chr20	53125853	54783880	Breast
ecc598158	chr20	53276304	53326315	Skin
ecc598159	chr20	53349079	53381103	Skin
ecc598160	chr20	53365509	53366023	Lung
ecc598161	chr20	53665880	59255033	Skin
ecc598162	chr20	53756763	55105290	Ovary
ecc598163	chr20	54169972	54170662	Connective tissue
ecc598164	chr20	54236275	62432500	Skin
ecc598165	chr20	54301591	57716496	Uterine Corpus Endometrial
ecc598166	chr20	54777201	55186214	Stomach
ecc598167	chr20	54949074	57175600	Breast
ecc598168	chr20	55194542	58202397	Stomach
ecc598169	chr20	55316998	55356988	Breast
ecc598170	chr20	55426505	55674278	Breast
ecc598171	chr20	55573804	57503753	Lung
ecc598172	chr20	55794140	59020595	Stomach
ecc598173	chr20	56147258	56458918	Breast
ecc598174	chr20	56644250	61112317	Esophagus
ecc598175	chr20	56878634	56899095	Breast
ecc598176	chr20	57240185	57677060	Breast
ecc598177	chr20	57344322	62435800	Ovary
ecc598178	chr20	57435863	57436399	Lung
ecc598179	chr20	57467814	62319837	Breast
ecc598180	chr20	57485500	57506189	Connective tissue
ecc598181	chr20	57504205	57504786	Lung
ecc598182	chr20	59074736	59107640	Breast
ecc598183	chr20	60459625	60660138	Lung
ecc598184	chr20	60736862	60844369	Lung
ecc598185	chr20	60861493	60861899	Bladder
ecc598186	chr20	61137703	63025520	Breast
ecc598187	chr20	61164120	63025520	Stomach
ecc598188	chr20	61435768	63025520	Skin
ecc598189	chr20	61458697	63025520	Esophagus
ecc598190	chr20	61975377	62219837	Skin
ecc598191	chr20	62019802	63025520	Lung
ecc598192	chr20	62170617	62219837	Uterine Corpus Endometrial
ecc598193	chr20	62506193	62706701	Stomach
ecc598194	chr21	10530951	10531468	Skin
ecc598195	chr21	10670001	38825471	Liver
ecc598196	chr21	10900000	14299999	Prostate
ecc598197	chr21	10900000	30914137	Ovary
ecc598198	chr21	14300000	31283975	Ovary
ecc598199	chr21	15167620	20926863	Bladder
ecc598200	chr21	15217620	15413148	Head and Neck
ecc598201	chr21	15347620	20407555	Lung
ecc598202	chr21	15658829	15848186	Head and Neck
ecc598203	chr21	16516922	16537664	Head and Neck
ecc598204	chr21	18033974	18346367	Breast
ecc598205	chr21	21956154	23720528	Breast
ecc598206	chr21	22802126	23571510	Head and Neck
ecc598207	chr21	23101219	23141166	Lung
ecc598208	chr21	23672953	24092026	Lung
ecc598209	chr21	23949137	24366178	Breast
ecc598210	chr21	24798845	26102401	Skin
ecc598211	chr21	24909076	29094235	Lung
ecc598212	chr21	27781652	32764488	Lung
ecc598213	chr21	30489635	30510296	Liver
ecc598214	chr21	30833583	31140832	Esophagus
ecc598215	chr21	31285984	34832345	Ovary
ecc598216	chr21	31379553	31528777	Ovary
ecc598217	chr21	32638785	33005904	Uterine Corpus Endometrial
ecc598218	chr21	34074649	34275270	Lung
ecc598219	chr21	35610211	36239108	Breast
ecc598220	chr21	35709417	35910038	Lung
ecc598221	chr21	36411774	41592177	Lung
ecc598222	chr21	37886772	37925373	Breast
ecc598223	chr21	38329621	38874820	Breast
ecc598224	chr21	39819539	39859473	Breast
ecc598225	chr21	40182202	40259132	Esophagus
ecc598226	chr21	40308400	40926653	Breast
ecc598227	chr21	40623470	41338777	Breast
ecc598228	chr21	40843698	41205939	Bladder
ecc598229	chr21	41466448	41553083	Lung
ecc598230	chr21	41889764	41890354	Esophagus
